"STT","Tên","Giá bán căn hộ","Address","Bàn giao","Loại hình","Quy mô","Số tầng","Diện tích","Tọa độ","Image","Quận"
"22","TROPIC GARDEN QUẬN 2","40-52tr/m2","49 Đường 66, giáp trục Nguyễn Văn Hưởng, P. Thảo Điền, Quận 2, TP.HCM","Updating...","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 23.143 m². Số Lượng: 1.008","Số hầm: , Chiều cao tầng: 27","Updating...","10.813456797233757 106.72880173774067","https://angialand.com.vn/wp-content/uploads/2021/01/phoi-canh-du-an-can-ho-chung-cu-tropic-garden-quan-2-ho-chi-minh-chu-dau-tu-novaland-2-600x375.jpg","2"
"23","THE OPERA RESIDENCE QUẬN 2","90-138 tr/m2","Khu đô thị mới Thủ Thiêm, Quận 2, TP HCM","Quý II/2021","Căn hộ chung cư cao cấp, Thương Mại, Dịch Vụ,Văn Phòng, Shophouse, Officetel","Tổng diện tích: 11 370 m2. Số Lượng: 1 block (27 tầng_","Số hầm: 3 tầng hầm , Chiều cao tầng: khối đế 4 tầng, khối tháp 20 tầng","55 - 180 m2","10.77929778523203 106.71224339171259","https://angialand.com.vn/wp-content/uploads/2021/01/phoi-canh-du-an-can-ho-chung-cu-the-opera-residence-thu-thiem-quan-2-4-1-600x375.jpg","2"
"24","THE CREST RESIDENCE","92-138 tr/m2","Lô 1 – 13, Đại lộ Vòng Cung thuộc Khu đô thị Thủ Thiêm, Quận 2, TP HCM","2021","Căn hộ chung cư cao cấp, Thương Mại, Dịch Vụ,Văn Phòng, Shophouse, Officetel","Tổng diện tích: 13.222 m2.","Updating...","Updating...","10.77891071346122 106.71468738069123","https://angialand.com.vn/wp-content/uploads/2021/01/vi-tri-du-an-the-crest-residence-thu-thiem-1-600x375.jpg","2"
"25","THE GALLERIA RESIDENCE","92 - 138 tr/m2","Lô 1-16 phân khu chức năng số 1 Thủ Thiêm, Quận 2, Tp.HCM","T6/2021","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 14.986,6 m2. Số Lượng: 456 căn hộ","Số hầm: 1, Chiều cao tầng:","50m2, 70m2, 110m2, 170m2","10.779197666929337 106.71195103296508","https://angialand.com.vn/wp-content/uploads/2021/01/phoi-canh-du-an-can-ho-chung-cu-the-galleria-residence-quan-2-hcm-chu-dau-tu-sonkimland-2-600x375.jpg","2"
"26","THE MONARCH EMPIRE CITY","tr/m2","2-15 Thủ Thiêm, Quận 2, TP HCM","Updating...","Khu phức hợp căn hộ và thương mại dịch vụ.","Tổng diện tích: 45.000m2. Số Lượng:","Số hầm: 3 , Chiều cao tầng: 33","Updating...","10.769487377334135 106.71273772669025","https://angialand.com.vn/wp-content/uploads/2021/01/xem-tron-bo-thiet-ke-cuc-chat-cua-the-monarch-khu-can-ho-hang-sang-sap-trien-khai-tai-thu-thiem-6-600x375.jpg","2"
"27","LEXINGTON RESIDENCE","tr/m2","67 Đường Mai Chí Thọ, An Phú, Quận 2, Thành phố Hồ Chí Minh","10/2016","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 21.356 m2. Số Lượng: 1310","Số hầm: 1 , Chiều cao tầng: 25","Updating...","10.79858393622493 106.75212372054845","https://angialand.com.vn/wp-content/uploads/2018/02/3-1.jpg","2"
"28","THỦ THIÊM ZEIT","Đang cập nhật","Khu đô thị Thủ Thiêm mặt tiền Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, TP HCM","2022","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Số Lượng: ~800 căn hộ, shophouse, nhà phố","Số hầm: 1 - 2, Chiều cao tầng: 12-32","Đang cập nhật","10.780047224341695 106.72138191075445","https://angialand.com.vn/wp-content/uploads/2020/12/phoi-canh-du-an-can-ho-chung-cu-thu-thiem-zeit-05-2-600x375.jpg","2"
"29","SAIGON SPORTS CITY","Đang cập nhật","Đường An Phú, Quận 2, TP HCM","Năm 2025","Căn hộ- Khu phức hợp","Tổng diện tích: 640,000 m2. Số Lượng: 4300 căn hộ gồm 10 block","Chiều cao tầng: 30 tầng","Đang cập nhật","10.80353215643165 106.76483740226419","https://angialand.com.vn/wp-content/uploads/2020/12/mua-ban-cho-thue-du-an-can-ho-chung-cu-saigon-sports-city-chu-dau-tu-keppel-land_5-4-600x375.jpg","2"
"30","ONE VERANDAH","70 -75 tr/m2","Đường Bát Nàn, Thạnh Mỹ Lợi, Quận 2, TPHCM","Năm 2019","Căn hộ - Shophouse - Officetel","Tổng diện tích: 1,7 ha. Số Lượng:","Số hầm: 2 tầng , Chiều cao tầng: 22 tầng","55-80-95-110-130-170m2","10.777017397303684 106.75259946982423","https://angialand.com.vn/wp-content/uploads/2019/06/phoi-canh-can-ho-chung-cu-can-ho-one-verandah-duong-bat-nan-quan-2-ho-chi-minh.jpg","2"
"31","THE METROPOLE THỦ THIÊM","80-120 tr/m2","Thủ Thiêm, Quận 2, TP.HCM","2021","Căn hộ cao cấp, Trung tâm thương mại, Officetel","Tổng diện tích: 75,965m2. Số Lượng:","Số hầm: , Chiều cao tầng: 12-36 tầng","50-69-76-103-110-170 m2","10.779540194195132 106.71298368137262","https://angialand.com.vn/wp-content/uploads/2018/07/nhan-mua-ban-cho-thue-ky-gui-du-an-can-ho-metropole-thu-thiem-2.jpg","2"
"32","LAIMIAN CITY","Đang cập nhật","KDC An Phú - An Khánh, P.Bình An, Quận 2, TPHCM","Quý IV/2021","Căn hộ - Shophouse - Trung tâm thương mại - Officetel","Tổng diện tích: 131 ha. Số Lượng:","Số hầm: 2 tầng Chiều cao tầng: 40 tầng","49-74-99-124-135 m2","10.789396310789396 106.73703369438115","https://angialand.com.vn/wp-content/uploads/2019/12/phoi-canh-tong-the-du-an-laimian-city-moi.jpg","2"
"33","SUNSHINE VENICIA","6000 - 7000$/m2","Đường số 39, Bình An, Quận 2, Hồ Chí Minh","Quý II/2021","Căn hộ cao cấp, Trung tâm thương mại, Officetel","Tổng diện tích: 7.092 m2","Chiều cao tầng: 26 tầng","88.63-145.5 m2","10.788011964752359 106.72737853950753","https://angialand.com.vn/wp-content/uploads/2020/03/phoi-canh-can-ho-chung-cu-sunshine-venicia-thu-thiem-duong-nguyen-huu-canh-quan-2-7-600x375.jpg","2"
"34","D’LUSSO","55 - 60 tr/m2","Nguyễn Thị Định, An Phú, Quận 2, TP.HCM","Quý IV/2022","Căn hộ cao cấp, Trung tâm thương mại, Officetel","Tổng diện tích: 1,15 ha. Số Lượng:","Số hầm: 2 Tầng , Chiều cao tầng: 25 Tầng","45-59-72-104 m2","10.792097383364684 106.75539501155906","https://angialand.com.vn/wp-content/uploads/2020/10/phoi-canh-tong-quan-du-an-can-ho-d-lusso-emerald-quan-2-600x375.jpg","2"
"35","MASTERI AN PHÚ","65-70 tr/m2","179 Xa lộ Hà Nội, Thảo Điền, Quận 2, Tp Hồ Chí Minh","Quý I/2019","Căn hộ cao cấp - Shophouse - Penthouse","Tổng diện tích: 12,526.7m². Số Lượng: 1.100 căn hộ","Số hầm: 2 Tầng , Chiều cao tầng: 42 Tầng","54-65-69-72-79-99m2","10.803663995336086 106.747604968181","https://angialand.com.vn/wp-content/uploads/2020/09/phoi-canh-du-an-can-ho-masteri-an-phu-179-xa-lo-ha-noi-thao-dien-quan-2-tp-hcm-4-600x375.jpg","2"
"36","MASTERI LUMIÈRE RIVERSIDE","90-115 tr/m2","628 mặt tiền đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, TP. HCM","Quý 2/2023","Căn hộ - Shophouse - Nhà Phố Ở - Nhà Phố Thương Mại - Biệt Thự","Tổng diện tích: 19, 395 m2. Số Lượng: 1030 căn hộ","36-44","49-52 m2, 68-77 m2, 92-113 m2","10.803537527422574 106.74779004057467","https://angialand.com.vn/wp-content/uploads/2020/09/e6cb98dd8c4b72152b5a-600x375.jpg","2"
